"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","mxpsd","max","fog","NUM_COLLISIONS"
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2020,19,70,1,-0.521913806428106
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2020,13,70,1,-0.285974054315524
"165",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2020,14,70,1,-0.240601025063104
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2020,20,70,0,-0.730629740989236
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2020,19,63,0,-0.776002770241656
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2020,18.1,69.1,0,-0.449316959624235
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2020,12,71.1,0,-0.585436047381493
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2020,8.9,71.1,1,-0.748778952690204
"171",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2020,12,73,1,-0.0228104846514897
"172",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2020,15,73.9,1,-0.567286835680526
"173",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2020,8.9,75.9,1,-0.57636144153101
"174",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2020,8,75.9,0,-0.122631149006813
"175",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2020,11.1,75.9,1,-0.158929572408749
"176",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2020,13,71.1,1,-0.0772581197543933
"177",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2020,13,77,0,-0.521913806428106
"178",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2020,12,77,0,0.258502296713512
"179",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2020,13,73,0,-0.322272477717459
"180",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2020,15,73,0,-0.621734470783429
"181",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2020,14,73.9,1,-0.0681835139039094
"182",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2020,11.1,73.9,0,-0.27689944846504
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,9.9,73,1,-0.449316959624235
"184",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,13,75,1,0.285726114264964
"185",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,18.1,77,1,-0.0591089080534255
"186",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,13,77,1,-0.27689944846504
"187",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,11.1,73,1,-0.168004178259233
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,19,75,1,-0.467466171325202
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,12,75,0,-0.594510653231977
"190",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,13,73.9,0,-0.376720112820363
"191",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,11.1,78.1,0,0.0407117563018978
"192",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,15,78.1,1,-0.113556543156329
"193",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,17.1,75.9,1,-0.313197871866976
"194",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,15.9,77,1,-0.149854966558265
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,11.1,77,1,-0.168004178259233
