"","day","mxpsd","max","fog","NUM_COLLISIONS"
"3062",5,20,28,0,-0.272837707509711
"974",6,13,32,0,-1.96827526002803
"1140",7,13,37.9,0,-2.51929246459648
"794",1,12,39,0,-2.01066119884098
"3090",2,20,50,1,-1.90469635180859
"2825",3,19,50,0,-1.35367914724014
"298",4,9.9,37,1,-0.993398667329995
"3732",5,22.9,35.6,0,-2.13781901527986
"3064",6,20,34,0,-0.972205697923516
"3414",7,21,30.9,0,-2.01066119884098
"2876",1,19,43,0,-1.22652133080126
"3447",2,21,44.1,0,-1.33248617783366
"1923",3,15.9,46,0,-0.760276003858727
"3289",4,21,48,0,-0.717890065045769
"1618",5,15,48,0,-0.039715044038443
"3197",6,20,46.9,0,-1.6927666577438
"2333",7,17.1,45,0,-1.92588932121507
"4297",1,NA,46,0,-1.67157368833732
"3648",2,22.9,39,0,-0.739083034452248
"4260",3,39,43,0,-1.24771430020774
"4312",4,NA,41,0,-0.866240850891121
"4293",5,NA,34,0,0.0662498029939516
"4294",6,NA,34,0,-1.09936351436239
"4292",7,NA,32,0,-1.84111744358915
"4311",1,NA,39,0,-1.12055648376887
"4298",2,NA,48,0,-0.0821009828514009
"4317",3,NA,45,0,-1.67157368833732
"4301",4,NA,50,0,-0.336416615729148
"4319",5,NA,55,0,0.744424824001277
"4291",6,53,45,0,-1.07817054495591
"4287",7,53,46,0,-1.24771430020774
"4286",1,53,27,0,-1.05697757554943
"4295",2,NA,34,0,-1.39606508605309
"4316",3,NA,43,0,-1.26890726961422
"4315",4,NA,43,0,-1.24771430020774
"4015",5,27,41,0,0.129828711213388
"4314",6,NA,43,0,-0.421188493355064
"4296",7,NA,46,0,-0.8874338202976
"4305",1,NA,54,0,-0.166872860477317
"4321",2,NA,59,0,-0.421188493355064
"4306",3,NA,54,0,-0.739083034452248
"4320",4,NA,59,1,-0.972205697923516
"3101",5,20,54,1,0.70203888518832
"4304",6,NA,54,0,0.468916221717051
"4289",7,53,52,1,-2.22259089290577
"4288",1,53,52,1,-1.33248617783366
"4299",2,NA,48,0,-0.463574432168022
"4318",3,NA,55,0,-0.399995523948585
"4303",4,NA,54,1,-0.845047881484642
"2007",5,15.9,43,0,-0.421188493355064
"4313",6,NA,41,0,-0.463574432168022
"4302",7,NA,52,0,-0.929819759110558
"4300",1,NA,50,0,-0.739083034452248
"4290",2,53,52,0,0.320565435871699
"4323",3,NA,62.6,0,0.00267089477451484
"3100",4,20,54,0,0.151021680619867
"955",5,12,60.1,1,-0.463574432168022
"1584",6,14,60.1,1,-0.188065829883796
"3097",7,20,54,1,-1.86231041299563
"3311",1,21,54,0,-0.823854912078164
"3753",2,24.1,52,0,0.384144344091136
"464",3,11.1,54,0,-0.166872860477317
"2575",4,18.1,54,0,-0.69669709563929
"4086",5,28,48.9,0,-0.10329395225788
"3381",6,21,48.9,0,-0.802661942671685
"1706",7,15,55,0,-0.951012728517037
"537",1,11.1,61,0,0.362951374684657
"2045",2,15.9,61,1,0.214600588839304
"2359",3,17.1,59,0,-0.421188493355064
"4022",4,27,59,0,-1.07817054495591
"3920",5,25.1,53.1,0,1.14709124272438
"2653",6,18.1,61,0,-0.039715044038443
"3884",7,25.1,61,0,-0.633118187419853
"3399",1,21,57.9,0,-0.060908013444922
"3214",2,20,57.9,0,-0.633118187419853
"1080",3,13,61,1,1.63452953907339
"308",4,9.9,61,1,0.447723252310572
"3720",5,22.9,62.1,1,0.596074038155925
"3833",6,24.1,62.1,0,0.320565435871699
"3251",7,20,60.1,0,0.574881068749446
"2164",1,15.9,66.9,0,0.278179497058741
"3822",2,24.1,66.9,1,0.89277560984663
"1075",3,13,57,1,0.765617793407756
"2277",4,17.1,64,0,0.765617793407756
"2276",5,17.1,64,0,0.341758405278178
"2196",6,15.9,60.1,0,0.0450568335874727
"2638",7,18.1,57,0,-0.781468973265206
"1711",1,15,57,0,-0.50596037098098
"3253",2,20,60.1,0,0.49010919112353
"3039",3,19,60.1,0,0.553688099342967
"1090",4,13,66,0,0.320565435871699
"744",5,12,73,0,2.29151159067424
"497",6,11.1,73,0,0.384144344091136
"758",7,12,73,0,0.723231854594799
"1095",1,13,70,0,0.362951374684657
"2387",2,17.1,70,0,1.50737172263452
"1818",3,15,69.1,0,0.935161548659588
"887",4,12,69.1,0,1.74049438610579
"435",5,9.9,62.1,1,1.71930141669931
"2373",6,17.1,63,1,1.59214360026043
"3680",7,22.9,82,0,0.574881068749446
"3357",1,21,63,0,0.405337313497615
"2658",2,18.1,63,0,1.08351233450494
"3420",3,21,64.9,1,0.638459976968883
"2177",4,15.9,75.9,0,2.75775691761678
"2484",5,17.1,75.9,0,1.16828421213086
"4182",6,31.1,61,0,-1.2901002390207
"2844",7,19,54,1,-0.993398667329995
"1719",1,15,61,1,-0.590732248606895
"1221",2,13,66.9,0,1.10470530391142
"1308",3,14,68,0,0.765617793407756
"1000",4,13,68,1,-0.315223646322669
"1896",5,15,62.6,1,0.596074038155925
"2215",6,15.9,66.2,1,1.31663499797621
"1846",7,15,84.9,0,1.35902093678917
"1501",1,14,69.1,1,1.65572250847987
"1307",2,14,68,1,1.10470530391142
"785",3,12,81,1,1.06231936509846
"2868",4,19,81,0,1.4225998450086
"2758",5,18.1,73.9,0,0.850389671033672
"1743",6,15,70,0,0.511302160530009
"824",7,12,70,0,0.574881068749446
"1317",1,14,72,1,0.553688099342967
"755",2,12,73,1,1.40140687560212
"3181",3,20,75,0,1.4225998450086
"565",4,11.1,75,1,1.80407329432522
"1120",5,13,75,0,1.78288032491875
"1850",6,15,73.9,0,1.46498578382156
"1043",7,13,77,0,0.426530282904093
"1040",1,13,77,1,1.23186312035029
"2485",2,17.1,75.9,1,-0.272837707509711
"1875",3,15,75.9,0,1.06231936509846
"1325",4,14,73,0,1.71930141669931
"844",5,12,75,1,1.65572250847987
"841",6,12,75,1,1.528564692041
"1674",7,15,77,1,0.638459976968883
"2438",1,17.1,78.1,0,1.61333656966691
"2434",2,17.1,80.1,0,0.998740456879025
"2734",3,18.1,78.1,0,1.23186312035029
"1121",4,13,79,1,0.341758405278178
"2685",5,18.1,79,1,0.638459976968883
"3006",6,19,73.9,0,-0.251644738103232
"1313",7,14,68,0,-0.29403067691619
"361",1,9.9,69.1,0,0.405337313497615
"2481",2,17.1,75.9,0,0.49010919112353
"2677",3,18.1,82,0,0.447723252310572
"658",4,11.1,75.9,1,0.0450568335874727
"4219",5,33,75,1,0.913968579253109
"1512",6,14,78.1,1,-0.209258799290274
"324",7,9.9,75,1,-0.845047881484642
"2119",1,15.9,80.1,1,0.00267089477451484
"1154",2,13,80.1,1,-0.10329395225788
"414",3,9.9,75.9,1,0.596074038155925
"282",4,9.9,77,1,1.46498578382156
"1037",5,13,77,1,0.998740456879025
"599",6,11.1,80.1,1,0.765617793407756
"1492",7,14,80.1,1,0.151021680619867
"1153",1,13,80.1,1,0.532495129936488
"649",2,11.1,82.9,1,-0.357609585135627
"405",3,9.9,82.9,1,0.574881068749446
"1752",4,15,82,0,0.553688099342967
"550",5,11.1,82,0,0.447723252310572
"831",6,12,82,1,0.723231854594799
"1753",7,15,82,0,0.405337313497615
"1320",1,14,84,1,1.18947718153734
"486",2,11.1,88,1,0.320565435871699
"1979",3,15.9,88,0,-0.060908013444922
"1992",4,15.9,77,0,0.341758405278178
"2866",5,19,81,0,1.69810844729283
"2617",6,18.1,81,0,1.06231936509846
"131",7,8.9,77,0,0.00267089477451484
"2402",1,17.1,79,0,0.468916221717051
"67",2,8,79,1,0.214600588839304
"1562",3,14,75.9,0,-0.251644738103232
"3795",4,24.1,75,0,0.0238638641809938
"1332",5,14,77,1,1.10470530391142
"1518",6,14,78.1,1,0.659652946375362
"610",7,11.1,89.1,0,0.235793558245783
"2131",1,15.9,89.1,0,0.765617793407756
"1768",2,15,79,1,0.596074038155925
"1443",3,14,79,1,0.278179497058741
"1996",4,15.9,81,1,0.447723252310572
"738",5,12,84,1,1.16828421213086
"905",6,12,87.1,1,-0.0185220746319641
"1526",7,14,87.1,0,0.235793558245783
"57",1,8,82,0,-0.039715044038443
"602",2,11.1,80.1,0,-0.357609585135627
"521",3,11.1,81,0,0.659652946375362
"1995",4,15.9,81,0,-0.357609585135627
"1976",5,15.9,84,0,0.468916221717051
"266",6,9.9,84,1,0.384144344091136
"3712",7,22.9,82.9,0,-0.972205697923516
"783",1,12,81,1,-0.209258799290274
"2173",2,15.9,82.9,0,0.617267007562404
"611",3,11.1,89.1,0,0.70203888518832
"612",4,11.1,89.1,0,0.850389671033672
"426",5,9.9,91.9,1,0.977547487472546
"3010",6,19,73.9,0,0.00267089477451484
"416",7,9.9,75.9,0,1.16828421213086
"1103",1,13,82,1,0.426530282904093
"627",2,11.1,87.1,1,0.151021680619867
"625",3,11.1,87.1,0,0.341758405278178
"3813",4,24.1,80.1,0,1.31663499797621
"763",5,12,77,0,1.04112639569198
"1508",6,14,78.1,0,0.808003732220714
"614",7,11.1,78.1,0,-0.209258799290274
"2187",1,15.9,75.9,0,-0.0821009828514009
"1172",2,13,78.1,0,0.723231854594799
"851",3,12,79,0,0.659652946375362
"1437",4,14,79,0,-0.188065829883796
"1515",5,14,78.1,0,1.04112639569198
"1821",6,15,78.1,0,0.638459976968883
"3410",7,21,78.1,0,0.384144344091136
"2939",1,19,79,0,1.59214360026043
"857",2,12,79,0,0.829196701627193
"1825",3,15,78.1,0,1.1258982733179
"3377",4,21,79,0,-0.717890065045769
"1034",5,13,77,0,1.528564692041
"2308",6,17.1,77,0,0.341758405278178
"3125",7,20,77,0,0.320565435871699
"749",1,12,73,0,0.29937246646522
"935",2,12,75.9,0,0.172214650026346
